ts_code,symbol,name,area,industry,list_date,filter_time
000905.SZ,000905,厦门港务,福建,港口,19990429,2025-01-09 19:14:53
000906.SZ,000906,浙商中拓,浙江,仓储物流,19990707,2025-01-09 19:14:53
000911.SZ,000911,广农糖业,广西,食品,19990527,2025-01-09 19:14:53
000912.SZ,000912,泸天化,四川,农药化肥,19990603,2025-01-09 19:14:53
000917.SZ,000917,电广传媒,湖南,广告包装,19990325,2025-01-09 19:14:53
000920.SZ,000920,沃顿科技,贵州,塑料,19990616,2025-01-09 19:14:53
000922.SZ,000922,佳电股份,黑龙江,电气设备,19990618,2025-01-09 19:14:53
000925.SZ,000925,众合科技,浙江,运输设备,19990611,2025-01-09 19:14:53
000929.SZ,000929,兰州黄河,甘肃,啤酒,19990623,2025-01-09 19:14:53
000932.SZ,000932,华菱钢铁,湖南,普钢,19990803,2025-01-09 19:14:53
000935.SZ,000935,四川双马,四川,水泥,19990824,2025-01-09 19:14:53
000936.SZ,000936,华西股份,江苏,化纤,19990810,2025-01-09 19:14:53
000948.SZ,000948,南天信息,云南,软件服务,19991014,2025-01-09 19:14:53
000949.SZ,000949,新乡化纤,河南,化纤,19991021,2025-01-09 19:14:53
000952.SZ,000952,广济药业,湖北,化学制药,19991112,2025-01-09 19:14:53
000953.SZ,000953,河化股份,广西,化学制药,19991202,2025-01-09 19:14:53
000955.SZ,000955,欣龙控股,海南,纺织,19991209,2025-01-09 19:14:53
000957.SZ,000957,中通客车,山东,汽车整车,20000113,2025-01-09 19:14:53
000958.SZ,000958,电投产融,河北,多元金融,19991223,2025-01-09 19:14:53
000969.SZ,000969,安泰科技,北京,小金属,20000529,2025-01-09 19:14:53
000970.SZ,000970,中科三环,北京,矿物制品,20000420,2025-01-09 19:14:53
000973.SZ,000973,佛塑科技,广东,塑料,20000525,2025-01-09 19:14:53
000985.SZ,000985,大庆华科,黑龙江,化工原料,20000726,2025-01-09 19:14:53
000987.SZ,000987,越秀资本,广东,多元金融,20000718,2025-01-09 19:14:53
000997.SZ,000997,新大陆,福建,IT设备,20000807,2025-01-09 19:14:53
000998.SZ,000998,隆平高科,湖南,种植业,20001211,2025-01-09 19:14:53
001203.SZ,001203,大中矿业,内蒙,普钢,20210510,2025-01-09 19:14:53
001206.SZ,001206,依依股份,天津,造纸,20210518,2025-01-09 19:14:53
001209.SZ,001209,洪兴股份,广东,服饰,20210723,2025-01-09 19:14:53
001222.SZ,001222,源飞宠物,浙江,文教休闲,20220818,2025-01-09 19:14:53
001239.SZ,001239,永达股份,湖南,工程机械,20231212,2025-01-09 19:14:53
001258.SZ,001258,立新能源,新疆,新型电力,20220727,2025-01-09 19:14:53
001267.SZ,001267,汇绿生态,湖北,建筑工程,20211117,2025-01-09 19:14:53
001278.SZ,001278,一彬科技,浙江,汽车配件,20230308,2025-01-09 19:14:53
001282.SZ,001282,三联锻造,安徽,汽车配件,20230524,2025-01-09 19:14:53
001287.SZ,001287,中电港,深圳,元器件,20230410,2025-01-09 19:14:53
001289.SZ,001289,龙源电力,北京,新型电力,20220124,2025-01-09 19:14:53
001296.SZ,001296,长江材料,重庆,其他建材,20211224,2025-01-09 19:14:53
001300.SZ,001300,三柏硕,山东,文教休闲,20221019,2025-01-09 19:14:53
001313.SZ,001313,粤海饲料,广东,饲料,20220216,2025-01-09 19:14:53
001318.SZ,001318,阳光乳业,江西,乳制品,20220520,2025-01-09 19:14:53
001324.SZ,001324,长青科技,江苏,运输设备,20230522,2025-01-09 19:14:53
001330.SZ,001330,博纳影业,新疆,影视音像,20220818,2025-01-09 19:14:53
001336.SZ,001336,楚环科技,浙江,专用机械,20220725,2025-01-09 19:14:53
001376.SZ,001376,百通能源,江西,供气供热,20231103,2025-01-09 19:14:53
001896.SZ,001896,豫能控股,河南,火力发电,19980122,2025-01-09 19:14:53
002006.SZ,002006,精工科技,浙江,专用机械,20040625,2025-01-09 19:14:53
002009.SZ,002009,天奇股份,江苏,工程机械,20040629,2025-01-09 19:14:53
002010.SZ,002010,传化智联,浙江,仓储物流,20040629,2025-01-09 19:14:53
002016.SZ,002016,世荣兆业,广东,区域地产,20040708,2025-01-09 19:14:53
002022.SZ,002022,科华生物,上海,医疗保健,20040721,2025-01-09 19:14:53
002026.SZ,002026,山东威达,山东,机械基件,20040727,2025-01-09 19:14:53
002029.SZ,002029,七匹狼,福建,服饰,20040806,2025-01-09 19:14:53
002030.SZ,002030,达安基因,广东,医疗保健,20040809,2025-01-09 19:14:53
002036.SZ,002036,联创电子,江西,元器件,20040903,2025-01-09 19:14:53
002037.SZ,002037,保利联合,贵州,化工原料,20040908,2025-01-09 19:14:53
002040.SZ,002040,南京港,江苏,港口,20050325,2025-01-09 19:14:53
002042.SZ,002042,华孚时尚,安徽,纺织,20050427,2025-01-09 19:14:53
002044.SZ,002044,美年健康,江苏,医疗保健,20050518,2025-01-09 19:14:53
002045.SZ,002045,国光电器,广东,元器件,20050523,2025-01-09 19:14:53
002046.SZ,002046,国机精工,河南,机械基件,20050526,2025-01-09 19:14:53
002054.SZ,002054,德美化工,广东,染料涂料,20060725,2025-01-09 19:14:53
002057.SZ,002057,中钢天源,安徽,矿物制品,20060802,2025-01-09 19:14:53
002058.SZ,002058,威尔泰,上海,电器仪表,20060802,2025-01-09 19:14:53
002065.SZ,002065,东华软件,北京,软件服务,20060823,2025-01-09 19:14:53
002066.SZ,002066,瑞泰科技,北京,其他建材,20060823,2025-01-09 19:14:53
002067.SZ,002067,景兴纸业,浙江,造纸,20060915,2025-01-09 19:14:53
002068.SZ,002068,黑猫股份,江西,化工原料,20060915,2025-01-09 19:14:53
002069.SZ,002069,獐子岛,辽宁,渔业,20060928,2025-01-09 19:14:53
002072.SZ,002072,凯瑞德,湖北,商贸代理,20061018,2025-01-09 19:14:53
002073.SZ,002073,软控股份,山东,专用机械,20061018,2025-01-09 19:14:53
002075.SZ,002075,沙钢股份,江苏,特种钢,20061025,2025-01-09 19:14:53
002077.SZ,002077,大港股份,江苏,半导体,20061116,2025-01-09 19:14:53
002079.SZ,002079,苏州固锝,江苏,电气设备,20061116,2025-01-09 19:14:53
002081.SZ,002081,金螳螂,江苏,装修装饰,20061120,2025-01-09 19:14:53
002082.SZ,002082,万邦德,浙江,中成药,20061120,2025-01-09 19:14:53
002083.SZ,002083,孚日股份,山东,纺织,20061124,2025-01-09 19:14:53
002085.SZ,002085,万丰奥威,浙江,汽车配件,20061128,2025-01-09 19:14:53
002093.SZ,002093,国脉科技,福建,文教休闲,20061215,2025-01-09 19:14:53
002094.SZ,002094,青岛金王,山东,日用化工,20061215,2025-01-09 19:14:53
002095.SZ,002095,生意宝,浙江,互联网,20061215,2025-01-09 19:14:53
002097.SZ,002097,山河智能,湖南,工程机械,20061222,2025-01-09 19:14:53
